reflection_id,reflection_text,claude_what,claude_why,claude_how,llama_what,llama_why,llama_how,evidence_what,evidence_why,evidence_how
40b,"Today we learned about FMEA, which is a way to look at a process and identify where it could fail before something bad happens. It uses scores for severity, likelihood, and detectability to figure out the highest priority risks. This is different from PDSA because it is proactive. I think FMEA could be useful in pharmacy, especially with high-alert medications.",2,1,0,2,1,0,"FMEA, which is a way to look at a process and identify where it could fail before something bad happens. It uses scores for severity, likelihood, and detectability to figure out the highest priority risks. This is different from PDSA because it is proactive.","I think FMEA could be useful in pharmacy, especially with high-alert medications.","I think FMEA could be useful in pharmacy, especially with high-alert medications."
40c,FMEA is used to find risks in a process. It is proactive. I will think more about it later.,1,0,0,1,0,0,FMEA is used to find risks in a process. It is proactive.,FMEA is used to find risks in a process. It is proactive.,I will think more about it later.
41a,"This session focused specifically on balancing measures within the IHI Model for Improvement — the third leg of the family of measures (alongside outcome and process) that tracks what is getting WORSE while you are trying to make something better. I learned the canonical examples: a hospital running a PDSA cycle to reduce ED door-to-doctor time may inadvertently increase readmission rates if the time pressure compresses workup; a community pharmacy improving immunization rate may inadvertently extend wait times for routine prescriptions, reducing patient satisfaction and long-term retention. The IHI principle is that every change has a balancing measure, and an improvement project that doesn't define one is hiding from its own consequences.

What this clarified for me was a recurring pattern I had observed without naming: improvement projects that celebrate a primary measure while quietly producing problems on adjacent measures. The class reframed balancing measures as not optional documentation but a moral commitment — you are looking for the harm your intervention might cause, in advance, and tracking it. The personal piece was realizing that as a future pharmacist-improver, my credibility on a project depends on whether I have named my balancing measures, not just my aim measure.

I will apply this by (1) committing, on any QI project I am part of, to explicitly name at least one balancing measure during the design phase, not during the analysis; (2) asking my preceptor to share one institutional improvement project where a balancing measure caught a problem and the team adjusted; and (3) when I review someone else's QI proposal, specifically asking what's being tracked that could go wrong — that is the highest-leverage feedback I can give.",2,2,2,2,2,2,balancing measures within the IHI Model for Improvement — the third leg of the family of measures (alongside outcome and process) that tracks what is getting WORSE while you are trying to make something better. I learned the canonical examples: a hospital running a PDSA cycle to reduce ED door-to-doctor time may inadvertently increase readmission rates if the time pressure compresses workup; a community pharmacy improving immunization rate may inadvertently extend wait times for routine prescriptions,"The class reframed balancing measures as not optional documentation but a moral commitment — you are looking for the harm your intervention might cause, in advance, and tracking it. The personal piece was realizing that as a future pharmacist-improver, my credibility on a project depends on whether I have named my balancing measures, not just my aim measure.","(1) committing, on any QI project I am part of, to explicitly name at least one balancing measure during the design phase, not during the analysis; (2) asking my preceptor to share one institutional improvement project where a balancing measure caught a problem and the team adjusted; and (3) when I review someone else's QI proposal, specifically asking what's being tracked that could go wrong"
41b,Today we discussed balancing measures in the IHI Model for Improvement. Balancing measures track what gets worse when you try to improve something. Every change has unintended consequences and improvement projects need to track them. I will define balancing measures in QI projects.,2,1,1,2,1,1,balancing measures in the IHI Model for Improvement. Balancing measures track what gets worse when you try to improve something.,Every change has unintended consequences and improvement projects need to track them.,I will define balancing measures in QI projects.
41c,Balancing measures are part of QI projects. I will remember.,1,0,0,1,0,0,Balancing measures are part of QI projects.,I will remember.,I will remember.
42a,"Today's class introduced Lean methodology — adapted from the Toyota Production System — as it has been applied to healthcare improvement, alongside the IHI Model for Improvement. I learned the core Lean concepts: identifying the eight wastes (Defects, Overproduction, Waiting, Non-utilized talent, Transportation, Inventory, Motion, Extra processing — DOWNTIME), value-stream mapping to make the current state visible, and continuous flow with pull (rather than push) production. We reviewed pharmacy applications: redesigning the dispensing workflow to reduce technician motion and waiting, using kanban systems for inventory management, and value-stream mapping the discharge medication reconciliation process. The instructor emphasized that Lean and IHI are complementary — Lean is strong at process redesign and waste elimination; IHI is strong at testing changes and learning from data.

What this was important for was a more pluralistic view of improvement work. I had been thinking of IHI's Model for Improvement as the framework. The class gave me a richer toolkit, and the value-stream mapping exercise in particular made visible how much of pharmacy workflow is invisible motion and waiting that no one designs intentionally — it just accumulates. Realizing that meant I now look at workflow with a different eye.

I will apply this by (1) value-stream mapping one workflow at my internship — for example, the e-prescription verification process — using the Lean DOWNTIME categories to identify waste; (2) reading one chapter of Mark Graban's Lean Hospitals before my next QI rotation to deepen the vocabulary; and (3) when I encounter a workflow problem, asking first ""what kind of waste is this?"" before proposing a change idea.",2,2,2,2,2,2,"I learned the core Lean concepts: identifying the eight wastes (Defects, Overproduction, Waiting, Non-utilized talent, Transportation, Inventory, Motion, Extra processing — DOWNTIME), value-stream mapping to make the current state visible, and continuous flow with pull (rather than push) production. We reviewed pharmacy applications: redesigning the dispensing workflow to reduce technician motion and waiting, using kanban systems for inventory management, and value-stream mapping the discharge medication reconciliation process.",the value-stream mapping exercise in particular made visible how much of pharmacy workflow is invisible motion and waiting that no one designs intentionally — it just accumulates. Realizing that meant I now look at workflow with a different eye.,"(1) value-stream mapping one workflow at my internship — for example, the e-prescription verification process — using the Lean DOWNTIME categories to identify waste; (2) reading one chapter of Mark Graban's Lean Hospitals before my next QI rotation to deepen the vocabulary; and (3) when I encounter a workflow problem, asking first ""what kind of waste is this?"" before proposing a change idea."
42c,Lean is a way to fix workflow. It comes from Toyota.,1,0,0,1,0,0,Lean is a way to fix workflow. It comes from Toyota.,Lean is a way to fix workflow. It comes from Toyota.,Lean is a way to fix workflow. It comes from Toyota.
43a,"This session covered Six Sigma and the DMAIC framework (Define, Measure, Analyze, Improve, Control) as another structured approach to quality improvement that intersects with the IHI Model for Improvement. I learned that Six Sigma originated in manufacturing and emphasizes statistical rigor in defect reduction — its name refers to a defect rate of 3.4 per million opportunities, achieved through process control. In healthcare, full Six Sigma implementations are less common than IHI/Lean hybrids, but the DMAIC framework is widely adapted: Define the problem precisely, Measure baseline performance, Analyze causes (often using cause-and-effect / Ishikawa diagrams), Improve with tested interventions, and Control with ongoing monitoring. The class also introduced Lean Six Sigma as the hybrid most commonly applied to pharmacy and hospital operations.

What this was important for was understanding that the improvement field has multiple coexisting frameworks and that, in practice, hospitals often blend them. The DMAIC structure gave me a clearer mental map than I had before — particularly the distinction between Improve (testing) and Control (sustaining). The personal piece was realizing that I will likely encounter all three vocabularies (IHI, Lean, Six Sigma) in different institutions and should be fluent in each rather than partisan about one.

I plan to apply this by (1) earning at least the Six Sigma Yellow Belt credential during my advanced rotations or first job, since it requires only modest time investment and is widely recognized; (2) on any QI project I join, asking which framework the team is using and whether that choice matches the problem; and (3) using the DMAIC structure as a personal discipline when I am drafting an improvement proposal — even if the team calls the work ""PDSA,"" running my proposal through DMAIC as a check.",2,2,2,2,2,2,"Six Sigma originated in manufacturing and emphasizes statistical rigor in defect reduction — its name refers to a defect rate of 3.4 per million opportunities, achieved through process control. In healthcare, full Six Sigma implementations are less common than IHI/Lean hybrids, but the DMAIC framework is widely adapted: Define the problem precisely, Measure baseline performance, Analyze causes (often using cause-and-effect / Ishikawa diagrams), Improve with tested interventions, and Control with ongoing monitoring.","The personal piece was realizing that I will likely encounter all three vocabularies (IHI, Lean, Six Sigma) in different institutions and should be fluent in each rather than partisan about one.","(1) earning at least the Six Sigma Yellow Belt credential during my advanced rotations or first job, since it requires only modest time investment and is widely recognized; (2) on any QI project I join, asking which framework the team is using and whether that choice matches the problem; and (3) using the DMAIC structure as a personal discipline when I am drafting an improvement proposal — even if the team calls the work ""PDSA,"" running my proposal through DMAIC as a check."
43c,Six Sigma is another way to do QI. DMAIC is part of it.,1,0,0,1,0,0,Six Sigma is another way to do QI. DMAIC is part of it.,Six Sigma is another way to do QI. DMAIC is part of it.,Six Sigma is another way to do QI. DMAIC is part of it.
44a,"Today's session was a case-based application of the IHI Model for Improvement to an adverse drug event (ADE) reduction project at an academic medical center. The project began with an aim statement: reduce inpatient ADE rate (per 1,000 patient-days) by 25% within 12 months. The team's driver diagram identified primary drivers (high-risk medication monitoring, transitions of care, and prescribing decision support) and tested change ideas through PDSA cycles: pharmacist-led dose-adjustment for renal function, automated alerts for QT-prolonging combinations, and a structured discharge medication reconciliation. We reviewed the run charts at six and twelve months — a clear shift below the median for the QT alert intervention, and a non-significant trend for the discharge reconciliation that the team is now redesigning.

What this case clarified was how the IHI tools we have studied separately actually fit together in a real project — the aim, the driver diagram, the PDSA cycles, the run chart, and the iteration. I had been studying each tool somewhat in isolation. Seeing the whole arc of a project made visible how the tools cohere, and also how often the first change ideas don't move the measure. The personal piece was a realistic sense of the tempo of improvement work — twelve months for a 25% target is fast, not slow, and a non-significant result at twelve months is a reason to redesign, not abandon.

I will apply this by (1) asking my preceptor whether I can review one completed institutional ADE-reduction project and study the run charts, PDSA logs, and final report; (2) building an ADE reduction project of my own scope at my retail rotation — for example, reducing NSAID-warfarin co-prescriptions through pharmacist outreach — to practice the full IHI arc; and (3) accepting upfront that the first PDSA cycle on any of my future projects is unlikely to move the measure, so I will plan three cycles before evaluating my approach.",2,2,2,2,2,2,"The project began with an aim statement: reduce inpatient ADE rate (per 1,000 patient-days) by 25% within 12 months. The team's driver diagram identified primary drivers (high-risk medication monitoring, transitions of care, and prescribing decision support) and tested change ideas through PDSA cycles: pharmacist-led dose-adjustment for renal function, automated alerts for QT-prolonging combinations, and a structured discharge medication reconciliation.","I had been studying each tool somewhat in isolation. Seeing the whole arc of a project made visible how the tools cohere, and also how often the first change ideas don't move the measure. The personal piece was a realistic sense of the tempo of improvement work — twelve months for a 25% target is fast, not slow, and a non-significant result at twelve months is a reason to redesign, not abandon.","(1) asking my preceptor whether I can review one completed institutional ADE-reduction project and study the run charts, PDSA logs, and final report; (2) building an ADE reduction project of my own scope at my retail rotation — for example, reducing NSAID-warfarin co-prescriptions through pharmacist outreach — to practice the full IHI arc; and (3) accepting upfront that the first PDSA cycle on any of my future projects is unlikely to move the measure, so I will plan three cycles before evaluating my approach."
44b,"Today we walked through an ADE reduction project that used the IHI Model for Improvement. The team wrote an aim, made a driver diagram, ran PDSAs, and tracked run charts. Some interventions worked and others didn't. I found this useful and will try to use the framework on my own QI projects.",2,1,1,2,1,1,"walked through an ADE reduction project that used the IHI Model for Improvement. The team wrote an aim, made a driver diagram, ran PDSAs, and tracked run charts.",I found this useful,will try to use the framework on my own QI projects
44c,Today's class was a case about reducing ADEs. They used IHI tools.,1,0,0,1,0,0,a case about reducing ADEs. They used IHI tools.,Today's class was a case about reducing ADEs. They used IHI tools.,Today's class was a case about reducing ADEs. They used IHI tools.
45a,"This session covered 30-day hospital readmission reduction as a high-stakes IHI improvement application — high-stakes because CMS penalizes hospitals with excessive readmissions through the Hospital Readmissions Reduction Program (HRRP). I learned that medication-related causes contribute to roughly 20% of preventable readmissions and that pharmacist-led interventions — discharge medication reconciliation, post-discharge follow-up calls, and meds-to-beds programs — have published evidence of reducing readmissions in heart failure, COPD, and AMI populations. The IHI framing for this work involves a clear aim (reduce 30-day readmission for the target population by X% in Y months), explicit balancing measures (LOS, ED utilization, patient satisfaction), and PDSA cycles testing one element at a time before bundling.

What this clarified for me was the alignment of clinical pharmacy practice with health-system financial incentives. I had been thinking of clinical pharmacy services as good practice that hospitals should fund. The class reframed transitions-of-care pharmacy as an HRRP-aligned investment that has direct ROI to the institution — which is the argument that gets services funded. The personal piece was a clearer sense of how to make the business case for clinical pharmacy roles when I am eventually advocating for one.

I will apply this by (1) asking my hospital preceptor whether the institution has a transitions-of-care pharmacist role and, if so, requesting to shadow for one shift; (2) reviewing the CMS HRRP rules so I understand the financial pressure the institution is responding to; and (3) building, before I graduate, a written elevator pitch for the value of pharmacist-led transitions-of-care services that I can use in interviews and committee meetings.",2,2,2,2,2,2,"medication-related causes contribute to roughly 20% of preventable readmissions and that pharmacist-led interventions — discharge medication reconciliation, post-discharge follow-up calls, and meds-to-beds programs — have published evidence of reducing readmissions in heart failure, COPD, and AMI populations. The IHI framing for this work involves a clear aim (reduce 30-day readmission for the target population by X% in Y months), explicit balancing measures (LOS, ED utilization, patient satisfaction), and PDSA cycles testing one element at a time before bundling.",I had been thinking of clinical pharmacy services as good practice that hospitals should fund. The class reframed transitions-of-care pharmacy as an HRRP-aligned investment that has direct ROI to the institution — which is the argument that gets services funded. The personal piece was a clearer sense of how to make the business case for clinical pharmacy roles when I am eventually advocating for one.,"(1) asking my hospital preceptor whether the institution has a transitions-of-care pharmacist role and, if so, requesting to shadow for one shift; (2) reviewing the CMS HRRP rules so I understand the financial pressure the institution is responding to; and (3) building, before I graduate, a written elevator pitch for the value of pharmacist-led transitions-of-care services that I can use in interviews and committee meetings."
45b,"Today's session covered hospital readmission reduction using IHI tools. Pharmacists can reduce readmissions through discharge med rec, follow-up calls, and meds-to-beds programs. CMS penalizes hospitals for high readmissions, which gives institutions incentive to fund these services. I will learn more about transitions-of-care pharmacy.",2,1,1,2,1,1,"hospital readmission reduction using IHI tools. Pharmacists can reduce readmissions through discharge med rec, follow-up calls, and meds-to-beds programs. CMS penalizes hospitals for high readmissions","CMS penalizes hospitals for high readmissions, which gives institutions incentive to fund these services",I will learn more about transitions-of-care pharmacy.
46a,"Today's session applied the IHI Model for Improvement to antimicrobial stewardship — the practice of optimizing antibiotic use to reduce resistance, C. difficile infections, and avoidable adverse drug reactions. I learned that effective stewardship programs have measurable aims (e.g., reduce DOT — days of therapy — per 1,000 patient-days by 15% over two years), use a family of measures including process measures (proportion of antibiotic orders meeting institutional criteria), outcome measures (C. diff incidence, resistance trends), and balancing measures (treatment failures, length of stay), and cycle through PDSA tests of specific interventions: prospective audit and feedback, prior authorization for broad-spectrum agents, automatic IV-to-PO conversion, and pharmacist-driven renal dose adjustment.

What this was important for was seeing antimicrobial stewardship as an explicit improvement program rather than as a clinical service that exists by tradition. The IHI framing made clear why some stewardship programs are successful and others stall — the successful ones operate as continuous improvement projects with measurable aims and clear balancing measures, while the stalled ones run on physician charisma and quarterly memos. The personal piece was understanding that stewardship is one of the most evidence-rich improvement areas in pharmacy and probably the easiest to use as a portfolio project for a new pharmacist building credibility.

I will apply this by (1) requesting an infectious-disease or stewardship rotation if my program permits, with a focus on the QI infrastructure rather than just the clinical content; (2) reviewing one institutional stewardship report and identifying which IHI tools were used; and (3) when I am eventually a hospital staff pharmacist, volunteering to run one stewardship-related PDSA cycle in my first six months — that is the fastest visible-improvement project available to a junior pharmacist.",2,2,2,2,2,2,"effective stewardship programs have measurable aims (e.g., reduce DOT — days of therapy — per 1,000 patient-days by 15% over two years), use a family of measures including process measures (proportion of antibiotic orders meeting institutional criteria), outcome measures (C. diff incidence, resistance trends), and balancing measures (treatment failures, length of stay), and cycle through PDSA tests of specific interventions: prospective audit and feedback, prior authorization for broad-spectrum agents, automatic IV-to-PO conversion, and pharmacist-driven renal dose adjustment.",The personal piece was understanding that stewardship is one of the most evidence-rich improvement areas in pharmacy and probably the easiest to use as a portfolio project for a new pharmacist building credibility.,"(1) requesting an infectious-disease or stewardship rotation if my program permits, with a focus on the QI infrastructure rather than just the clinical content; (2) reviewing one institutional stewardship report and identifying which IHI tools were used; and (3) when I am eventually a hospital staff pharmacist, volunteering to run one stewardship-related PDSA cycle in my first six months"
46b,"Today we discussed antimicrobial stewardship using the IHI framework. Stewardship programs use aims, process measures, and balancing measures to reduce antibiotic use and resistance. PDSA cycles test interventions like prior authorization and IV-to-PO conversion. This is a useful way to think about stewardship.",2,1,0,2,1,0,"antimicrobial stewardship using the IHI framework. Stewardship programs use aims, process measures, and balancing measures to reduce antibiotic use and resistance. PDSA cycles test interventions like prior authorization and IV-to-PO conversion.",This is a useful way to think about stewardship.,This is a useful way to think about stewardship.
47a,"This session focused on diabetes management improvement in ambulatory settings — specifically increasing the proportion of patients with type 2 diabetes meeting A1C targets — as an example of how the IHI Model for Improvement applies to community pharmacy and primary care. I learned that the most successful programs combine pharmacist medication therapy management (MTM), structured patient education, and continuous glucose monitoring access, and use a clear aim (e.g., increase the proportion of panel patients with A1C < 8% from 65% to 80% in 12 months). The driver diagram typically includes primary drivers around medication optimization, self-management education, and care coordination, with secondary drivers down to specific PDSA-testable change ideas (a 10-minute pharmacist visit at month 1, 3, and 6; standardized teach-back on insulin technique; an automated panel report flagging out-of-target patients).

What this was important for was recognizing that ambulatory pharmacy is one of the most fertile places for QI work because the patient population is stable enough to track outcomes over months. Inpatient improvement projects are constrained by short LOS; ambulatory diabetes work can show real A1C movement. The personal piece was realizing that I should pursue an ambulatory rotation specifically with the goal of running a small QI project, because the time horizon is favorable and the data infrastructure (panels, A1C results) is readily available.

I will apply this by (1) requesting a longitudinal ambulatory rotation if my program permits, with a written QI project as the deliverable; (2) before the rotation, reading the IHI A1C improvement white paper to calibrate my expectations of pace and impact; and (3) committing to the discipline of A1C as a true outcome measure rather than allowing my project to drift into process-only metrics that look successful but don't move patient health.",2,2,2,2,2,2,"the most successful programs combine pharmacist medication therapy management (MTM), structured patient education, and continuous glucose monitoring access, and use a clear aim (e.g., increase the proportion of panel patients with A1C < 8% from 65% to 80% in 12 months). The driver diagram typically includes primary drivers around medication optimization, self-management education, and care coordination, with secondary drivers down to specific PDSA-testable change ideas (a 10-minute pharmacist visit at month 1, 3, and 6; standardized teach-back on insulin technique; an automated panel report flagging out-of-target patients).","ambulatory pharmacy is one of the most fertile places for QI work because the patient population is stable enough to track outcomes over months. Inpatient improvement projects are constrained by short LOS; ambulatory diabetes work can show real A1C movement. The personal piece was realizing that I should pursue an ambulatory rotation specifically with the goal of running a small QI project, because the time horizon is favorable and the data infrastructure (panels, A1C results) is readily available.","(1) requesting a longitudinal ambulatory rotation if my program permits, with a written QI project as the deliverable; (2) before the rotation, reading the IHI A1C improvement white paper to calibrate my expectations of pace and impact; and (3) committing to the discipline of A1C as a true outcome measure rather than allowing my project to drift into process-only metrics that look successful but don't move patient health."
47b,"Today we covered diabetes management improvement using IHI. Pharmacist MTM, education, and CGM access can improve A1C. PDSA cycles test specific interventions. Ambulatory pharmacy is a good place for QI work because of the time horizons. I will be interested in this work in my career.",2,1,1,2,1,1,"Pharmacist MTM, education, and CGM access can improve A1C. PDSA cycles test specific interventions. Ambulatory pharmacy is a good place for QI work because of the time horizons.",Ambulatory pharmacy is a good place for QI work because of the time horizons.,I will be interested in this work in my career.
48a,"Today's final IHI session focused on a community-pharmacy QI project I will almost certainly encounter or run within my first two years of practice: improving adult vaccination rates (pneumococcal, shingles, RSV, influenza). I learned that the highest-leverage change idea is point-of-sale prompts tied to refill events — for every prescription pickup, the system flags vaccines the patient is eligible for but has not received. Combined with pharmacist-initiated standing orders and brief teach-back on vaccine rationale, published programs have shown adult vaccination rates increase from baseline 30-40% to 60%+ within 18 months. The IHI framing here is particularly clean: a measurable aim, a clear driver diagram (awareness, convenience, payer coverage), PDSA-testable change ideas, and balancing measures (waiting times, patient satisfaction).

What this was important for was seeing how community pharmacy QI can be a career-building activity rather than just an operational duty. A documented, data-driven vaccination improvement project is a portfolio piece that translates into residency applications, advanced practice opportunities, and management roles. The personal piece was clarifying that I should begin tracking my QI work formally from the start of my first job — even small projects, documented well, compound into a body of work.

I will apply this by (1) on my retail rotation, identifying the site's current adult vaccination rate and proposing one PDSA test (e.g., a refill prompt) to my preceptor; (2) keeping a personal QI portfolio document starting in my P4 year that captures every project I run with aim, driver diagram, and outcome data; and (3) committing, when I eventually lead a vaccination project, to publish the results in a state pharmacy journal — sharing the data publicly raises the standard of practice.",2,2,2,2,2,2,"the highest-leverage change idea is point-of-sale prompts tied to refill events — for every prescription pickup, the system flags vaccines the patient is eligible for but has not received. Combined with pharmacist-initiated standing orders and brief teach-back on vaccine rationale, published programs have shown adult vaccination rates increase from baseline 30-40% to 60%+ within 18 months. The IHI framing here is particularly clean: a measurable aim, a clear driver diagram (awareness, convenience, payer coverage), PDSA-testable change ideas, and balancing measures (waiting times, patient satisfaction).","seeing how community pharmacy QI can be a career-building activity rather than just an operational duty. A documented, data-driven vaccination improvement project is a portfolio piece that translates into residency applications, advanced practice opportunities, and management roles. The personal piece was clarifying that I should begin tracking my QI work formally from the start of my first job — even small projects, documented well, compound into a body of work.","(1) on my retail rotation, identifying the site's current adult vaccination rate and proposing one PDSA test (e.g., a refill prompt) to my preceptor; (2) keeping a personal QI portfolio document starting in my P4 year that captures every project I run with aim, driver diagram, and outcome data; and (3) committing, when I eventually lead a vaccination project, to publish the results in a state pharmacy journal"
48b,Today we discussed vaccination rate improvement in community pharmacy as a QI project. Point-of-sale prompts and pharmacist standing orders can increase rates from 30-40% to over 60%. I will look at vaccination metrics during my retail rotation.,2,0,1,2,0,1,Point-of-sale prompts and pharmacist standing orders can increase rates from 30-40% to over 60%,vaccination rate improvement in community pharmacy as a QI project,I will look at vaccination metrics during my retail rotation.
49a,"In today's class, we covered the concept of Just Culture and how it shapes the way organizations respond to medication errors. We reviewed the three behaviors in the Just Culture model: human error, which calls for consoling the person involved; at-risk behavior, which calls for coaching; and reckless behavior, which calls for discipline. We also discussed how a traditional blame-based culture drives near misses underground and prevents healthcare teams from learning about the system weaknesses that those near misses reveal. Learning about Just Culture is essential for my development as a pharmacist because it challenged my assumption that every medication error should be treated the same way. I used to believe that any error meant someone was careless, but I now see that treating a harried technician who made an honest slip the same as someone who deliberately bypassed a verification step is both unjust and bad for patient safety. If the staff fears retaliation, errors go unreported, which means the underlying system problems stay invisible. At my internship, I will commit to filing a formal near miss report through our incident reporting system any time I catch an error before it reaches the patient, even when it feels minor. I will also ask my preceptor during our weekly check-in to walk through one recent reported event with me so that I can learn how our site distinguishes between human error, at-risk behavior, and reckless behavior in practice.",2,2,2,2,2,2,"We reviewed the three behaviors in the Just Culture model: human error, which calls for consoling the person involved; at-risk behavior, which calls for coaching; and reckless behavior, which calls for discipline. We also discussed how a traditional blame-based culture drives near misses underground and prevents healthcare teams from learning about the system weaknesses that those near misses reveal.","I used to believe that any error meant someone was careless, but I now see that treating a harried technician who made an honest slip the same as someone who deliberately bypassed a verification step is both unjust and bad for patient safety. If the staff fears retaliation, errors go unreported, which means the underlying system problems stay invisible.","I will commit to filing a formal near miss report through our incident reporting system any time I catch an error before it reaches the patient, even when it feels minor. I will also ask my preceptor during our weekly check-in to walk through one recent reported event with me so that I can learn how our site distinguishes between human error, at-risk behavior, and reckless behavior in practice."
49c,In class we talked about how workplaces handle medication errors differently. This topic is important because patient safety is a priority in pharmacy and we need to know how to respond when things go wrong. I thought it was a helpful discussion and I will think about it more as I get into my rotations.,1,1,1,1,1,1,we talked about how workplaces handle medication errors differently,patient safety is a priority in pharmacy and we need to know how to respond when things go wrong,I will think about it more as I get into my rotations
50a,"Today's session focused on Root Cause Analysis (RCA) as a structured method for investigating medication errors and adverse events. We walked through a case involving an insulin overdose and used the Five Whys technique to move past the initial human error down to the system-level contributors, including a look-alike vial design, inadequate labeling on the floor stock, and a nursing workflow that allowed the barcode scanner to be bypassed. We also discussed how a good RCA focuses on what happened and why, not on who was responsible, and how it should produce system-level action items rather than individual blame. Learning about RCA is essential to my growth because I previously thought of error investigations as fact-finding missions aimed at identifying who was at fault. This session reshaped my understanding by showing that stopping at 'the nurse drew up the wrong dose' prevents meaningful improvement, because the real fix lies upstream in packaging, storage, and workflow design. It also reinforced my belief that pharmacists have a unique responsibility to advocate for system changes, since we see the medication use process end-to-end from prescribing to administration. At my internship, I will ask my preceptor whether I can sit in on any RCA or M&M conferences that happen during my rotation, and if I catch a near miss at the counter I will document the contributing system factors such as storage layout, look-alike packaging, and interruption patterns, in addition to noting what the individual did.",2,2,2,2,2,2,"We walked through a case involving an insulin overdose and used the Five Whys technique to move past the initial human error down to the system-level contributors, including a look-alike vial design, inadequate labeling on the floor stock, and a nursing workflow that allowed the barcode scanner to be bypassed.","I previously thought of error investigations as fact-finding missions aimed at identifying who was at fault. This session reshaped my understanding by showing that stopping at 'the nurse drew up the wrong dose' prevents meaningful improvement, because the real fix lies upstream in packaging, storage, and workflow design. It also reinforced my belief that pharmacists have a unique responsibility to advocate for system changes, since we see the medication use process end-to-end from prescribing to administration.","At my internship, I will ask my preceptor whether I can sit in on any RCA or M&M conferences that happen during my rotation, and if I catch a near miss at the counter I will document the contributing system factors such as storage layout, look-alike packaging, and interruption patterns, in addition to noting what the individual did."
50b,"In class, we learned about Root Cause Analysis and how it is used to investigate medical errors. We also talked about the Five Whys technique for identifying why something happened. This learning matters because if we don't understand why errors happen, they will continue and patients will be harmed. Understanding this process helps pharmacists know what to do after an event. In the future, I will try to be more thoughtful about why errors happen and not just who made them.",2,1,1,2,1,1,we learned about Root Cause Analysis and how it is used to investigate medical errors. We also talked about the Five Whys technique for identifying why something happened.,"if we don't understand why errors happen, they will continue and patients will be harmed. Understanding this process helps pharmacists know what to do after an event.","In the future, I will try to be more thoughtful about why errors happen and not just who made them."
51a,"In today's introduction to patient safety, we reviewed the key taxonomy used to classify safety events: near misses (errors that are caught before reaching the patient), medication errors that reach the patient without causing harm, adverse drug events (injury from a medication, whether preventable or not), and sentinel events (unexpected events that result in death or serious physical or psychological harm). We also discussed The Joint Commission's requirement that sentinel events trigger a formal review, and we mapped a sterile compounding case onto this taxonomy to see how the same underlying failure can fall into different categories depending on whether and how it reaches the patient. Learning this taxonomy is important for my growth because I had previously been using 'medication error' as a catch-all. Having precise language matters both for accurate documentation and for picking the right improvement response. It also challenged my assumption that near misses are 'not a big deal' because no patient was harmed. Near misses are actually the highest-volume, lowest-cost signal we have about system weaknesses, and they deserve the same scrutiny as events that caused harm. During my upcoming hospital rotation, I will ask my preceptor to walk me through how events are categorized in the hospital's reporting platform, and I will use the correct terminology in my own documentation instead of defaulting to 'error.' When I catch a near miss at work, I will file it through the same reporting pathway I would use for a harm event.",2,2,2,2,2,2,"near misses (errors that are caught before reaching the patient), medication errors that reach the patient without causing harm, adverse drug events (injury from a medication, whether preventable or not), and sentinel events (unexpected events that result in death or serious physical or psychological harm). We also discussed The Joint Commission's requirement that sentinel events trigger a formal review, and we mapped a sterile compounding case onto this taxonomy to see how the same underlying failure can fall into different categories depending on whether and how it reaches the patient.","I had previously been using 'medication error' as a catch-all. Having precise language matters both for accurate documentation and for picking the right improvement response. It also challenged my assumption that near misses are 'not a big deal' because no patient was harmed. Near misses are actually the highest-volume, lowest-cost signal we have about system weaknesses, and they deserve the same scrutiny as events that caused harm.","During my upcoming hospital rotation, I will ask my preceptor to walk me through how events are categorized in the hospital's reporting platform, and I will use the correct terminology in my own documentation instead of defaulting to 'error.' When I catch a near miss at work, I will file it through the same reporting pathway I would use for a harm event."
